saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token,token_length,code,mid,options,data_length,observable,uri
183.234.34.85,1428351671,192.168.0.123,2063640768,13088,42,udp,1,5683,39942,285,"</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",,,,,0,1,2025-10-31T16:54:06.729+0100,1761926046,729050,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",270,/.well-known/core
183.221.127.78,1317002679,192.168.0.123,2063640768,34240,39,udp,1,5683,46069,532,"</qlink>,</qlink/ack>;title=""Qlink-ACK Resource"",</qlink/queryGwExt>;title=""queryGwExt Resource"",</qlink/request>;title=""Qlink-Request Resource"",</qlink/searchgw>;title=""SearchGW Resource"",</qlink/success>;title=""Qlink-Success Resource"",</qlink/wlantest>;title=""Qlink-WLAN Resource"",</gw>,</gw/query>,</gw/query/DiagnotorConnection>;title=""Connect To Diagnotor"",</gw/query/apdevices>;title=""apdevices Data Resource"",</gw/query/config>;title=""config-properties Resource"",</basic>,</basic/regist>;title=""Qlink-Regist Resource"",</basic/show>;title=""Qlink-SHOW Resource"",</device>,</device/command>,</device/command/control>;title=""Device Control Resource"",</device/command/data>;title=""Control Data Resource"",</device/inform>,</device/inform/boot>;title=""Boot-Request Resource"",</device/inform/bootstrap>;title=""bootstrap-Request Resource"",</device/inform/data>;obs;title=""Inform Data Resource"",</device/inform/heartbeat>;title=""HeartBeat Resource"",</device/inform/offline>;title=""ChildDevice Offline Resource"",</device/inform/requestSync>;title=""AP device request synchronization"",</.well-known/core>",,,,,0,1,2025-10-31T16:54:06.803+0100,1761926046,803255,3,False,1,2,48a4,2,2.05 Content,31593,"{""CONTENT_FORMAT"": ""LINKFORMAT"", ""SIZE2"": ""BlockwiseTuple(block_number=2, more=False, size_exponent=5)"", ""BLOCK2"": ""1098""}",1098,/.well-known/core
178.161.192.97,1640014258,192.168.0.123,2063640768,62987,54,udp,1,5683,40612,12,,,,,,0,1,2025-10-31T16:54:21.543+0100,1761926061,543665,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/register
178.213.32.181,3038827954,192.168.0.123,2063640768,29645,47,udp,1,5683,48400,12,,,,,,0,1,2025-10-31T16:54:21.547+0100,1761926061,547155,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/register
178.161.192.97,1640014258,192.168.0.123,2063640768,363,54,udp,1,5683,60018,12,,,,,,0,1,2025-10-31T16:54:35.652+0100,1761926075,652688,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
178.213.32.181,3038827954,192.168.0.123,2063640768,30914,49,udp,1,5683,59185,12,,,,,,0,1,2025-10-31T16:54:35.659+0100,1761926075,659224,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
188.233.138.163,2743790012,192.168.0.123,2063640768,5200,54,udp,1,5683,54240,12,,,,,,0,1,2025-10-31T16:54:35.662+0100,1761926075,662262,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/dis
178.213.32.181,3038827954,192.168.0.123,2063640768,31968,47,udp,1,5683,42321,16,0x1,,,,,0,1,2025-10-31T16:54:49.779+0100,1761926089,779426,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
188.233.138.163,2743790012,192.168.0.123,2063640768,6119,54,udp,1,5683,49924,12,,,,,,0,1,2025-10-31T16:54:49.786+0100,1761926089,786214,3,False,1,2,,0,4.00 Bad Request,32112,,0,/ndm/ci
178.161.192.97,1640014258,192.168.0.123,2063640768,1582,54,udp,1,5683,59783,16,0x1,,,,,0,1,2025-10-31T16:54:49.861+0100,1761926089,861131,3,False,1,2,,0,4.00 Bad Request,32112,,3,/ndm/ci
178.213.32.181,3038827954,192.168.0.123,2063640768,32216,54,udp,1,5683,57258,12,,,,,,0,1,2025-10-31T16:55:03.932+0100,1761926103,932988,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/mirror
178.161.192.97,1640014258,192.168.0.123,2063640768,2491,54,udp,1,5683,38929,12,,,,,,0,1,2025-10-31T16:55:03.941+0100,1761926103,941266,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/mirror
178.161.192.97,1640014258,192.168.0.123,2063640768,5694,54,udp,1,5683,53895,12,,,,,,0,1,2025-10-31T16:55:18.084+0100,1761926118,84104,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/uhp
178.213.32.181,3038827954,192.168.0.123,2063640768,33568,49,udp,1,5683,37163,12,,,,,,0,1,2025-10-31T16:55:18.091+0100,1761926118,91716,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/uhp
188.233.138.163,2743790012,192.168.0.123,2063640768,13175,54,udp,1,5683,37128,12,,,,,,0,1,2025-10-31T16:55:18.095+0100,1761926118,95678,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/uhp
178.161.192.97,1640014258,192.168.0.123,2063640768,8813,54,udp,1,5683,48685,12,,,,,,0,1,2025-10-31T16:55:32.214+0100,1761926132,214144,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ndm/logout
